"room_type";"price";"review_scores_rating";"Wifi";"TV"
"Entire home/apt";90;5;"Non";"Oui"
"Entire home/apt";95;;"Non";"Non"
"Entire home/apt";463;;"Non";"Non"
"Entire home/apt";60;5;"Non";"Non"
"Entire home/apt";130;4,9;"Non";"Non"
"Private room";100;3;"Non";"Oui"
"Entire home/apt";127;4,96;"Non";"Oui"
"Entire home/apt";90;5;"Non";"Oui"
"Entire home/apt";100;5;"Non";"Non"
"Entire home/apt";80;5;"Non";"Non"
"Entire home/apt";180;;"Non";"Non"
"Hotel room";292;;"Non";"Oui"
"Entire home/apt";55;4,67;"Non";"Oui"
"Hotel room";312;4,56;"Non";"Oui"
"Entire home/apt";36;1;"Non";"Oui"
"Entire home/apt";160;;"Non";"Non"
"Entire home/apt";92;;"Non";"Oui"
"Entire home/apt";57;;"Non";"Non"
"Private room";60;4,73;"Non";"Oui"
"Entire home/apt";76;4,63;"Non";"Oui"
"Private room";297;;"Non";"Oui"
"Entire home/apt";356;;"Non";"Non"
"Entire home/apt";186;4;"Non";"Non"
"Private room";20;;"Non";"Oui"
"Hotel room";209;;"Non";"Oui"
"Entire home/apt";88;;"Non";"Non"
"Private room";30;0;"Non";"Non"
"Entire home/apt";49;;"Non";"Non"
"Entire home/apt";240;5;"Non";"Oui"
"Entire home/apt";60;4;"Non";"Non"
"Private room";50;;"Oui";"Oui"
"Private room";75;4,5;"Non";"Oui"
"Entire home/apt";390;4,82;"Non";"Non"
"Entire home/apt";71;;"Non";"Non"
"Entire home/apt";59;5;"Non";"Oui"
"Entire home/apt";166;;"Non";"Non"
"Private room";208;;"Non";"Oui"
"Entire home/apt";100;;"Non";"Oui"
"Entire home/apt";75;4,82;"Non";"Oui"
"Entire home/apt";180;5;"Non";"Non"
"Entire home/apt";30;;"Non";"Oui"
"Entire home/apt";52;5;"Non";"Non"
"Entire home/apt";39;4,78;"Non";"Oui"
"Entire home/apt";85;5;"Non";"Non"
"Entire home/apt";100;4,67;"Non";"Non"
"Entire home/apt";380;4,83;"Non";"Oui"
"Entire home/apt";90;4,9;"Non";"Oui"
"Entire home/apt";49;4,33;"Non";"Non"
